workload,l1d_size,l1i_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,l1d_size_log2,l1i_size_log2,l2_size_log2,l1d_assoc_log2,l1i_assoc_log2,l2_assoc_log2,l2_l1d_ratio_log2,l1d_sets_log2,l2_sets_log2,pred_ipc,pred_l2_miss_rate,warnings
matrix_mul,64,64,1024,8,8,16,6.0,6.0,10.0,3.0,3.0,4.0,4.0,3.0,6.0,1.0340713262557983,0.0007620243122801185,
matrix_mul,128,64,2048,16,8,32,7.0,6.0,11.0,4.0,3.0,5.0,4.0,3.0,6.0,1.0389026403427124,0.0007164481794461608,
matrix_mul,64,128,2048,8,16,16,6.0,7.0,11.0,3.0,4.0,4.0,5.0,3.0,7.0,1.0363619327545166,0.0007295886753126979,
matrix_mul,128,128,4096,16,16,32,7.0,7.0,12.0,4.0,4.0,5.0,5.0,3.0,7.0,1.0411704778671265,0.000743369571864605,
matrix_mul,128,64,1024,16,8,16,7.0,6.0,10.0,4.0,3.0,4.0,3.0,3.0,6.0,1.0347535610198975,0.0007720319554209709,
fft,64,64,2048,8,8,16,6.0,6.0,11.0,3.0,3.0,4.0,5.0,3.0,7.0,2.213203191757202,0.3210033178329468,
fft,128,64,2048,16,8,32,7.0,6.0,11.0,4.0,3.0,5.0,4.0,3.0,6.0,2.2399697303771973,0.8189705610275269,
fft,64,128,1024,8,16,16,6.0,7.0,10.0,3.0,4.0,4.0,4.0,3.0,6.0,2.2176575660705566,0.3491872549057007,
fft,128,128,2048,16,16,32,7.0,7.0,11.0,4.0,4.0,5.0,4.0,3.0,6.0,2.2399966716766357,0.8188154101371765,
fft,64,64,4096,8,8,32,6.0,6.0,12.0,3.0,3.0,5.0,6.0,3.0,7.0,2.2094297409057617,0.3140914738178253,
qsort,64,128,2048,8,16,32,6.0,7.0,11.0,3.0,4.0,5.0,5.0,3.0,6.0,1.484125018119812,0.09239984303712845,
qsort,128,64,4096,16,8,32,7.0,6.0,12.0,4.0,3.0,5.0,5.0,3.0,7.0,1.4921879768371582,0.10212134569883347,
qsort,128,128,2048,16,16,16,7.0,7.0,11.0,4.0,4.0,4.0,4.0,3.0,7.0,1.492051124572754,0.11985889822244644,
qsort,64,64,2048,8,8,32,6.0,6.0,11.0,3.0,3.0,5.0,5.0,3.0,6.0,1.484125018119812,0.09229759871959686,
dijkstra,128,64,4096,16,8,32,7.0,6.0,12.0,4.0,3.0,5.0,5.0,3.0,7.0,1.3360708951950073,0.9929513335227966,
dijkstra,64,128,2048,8,16,32,6.0,7.0,11.0,3.0,4.0,5.0,5.0,3.0,6.0,1.3359771966934204,0.9928306341171265,
dijkstra,128,128,4096,16,16,32,7.0,7.0,12.0,4.0,4.0,5.0,5.0,3.0,7.0,1.3360708951950073,0.9929443001747131,
dijkstra,64,64,2048,8,8,16,6.0,6.0,11.0,3.0,3.0,4.0,5.0,3.0,7.0,1.3360328674316406,0.9928246140480042,
sha,64,64,1024,8,8,16,6.0,6.0,10.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0940093994140625,1.0,IPC=4.094 out of physical range
sha,128,128,2048,16,16,32,7.0,7.0,11.0,4.0,4.0,5.0,4.0,3.0,6.0,4.0940093994140625,1.0,IPC=4.094 out of physical range
sha,64,128,4096,8,16,32,6.0,7.0,12.0,3.0,4.0,5.0,6.0,3.0,7.0,4.09401273727417,1.0,IPC=4.094 out of physical range
sha,128,64,2048,16,8,16,7.0,6.0,11.0,4.0,3.0,4.0,4.0,3.0,7.0,4.0940093994140625,0.9999923706054688,IPC=4.094 out of physical range
crc32,64,64,2048,8,8,32,6.0,6.0,11.0,3.0,3.0,5.0,5.0,3.0,6.0,1.1499793529510498,0.5117428302764893,
crc32,128,64,1024,16,8,16,7.0,6.0,10.0,4.0,3.0,4.0,3.0,3.0,6.0,1.1496986150741577,0.522352397441864,
crc32,64,128,4096,8,16,32,6.0,7.0,12.0,3.0,4.0,5.0,6.0,3.0,7.0,1.1526192426681519,0.4983159601688385,
crc32,128,128,2048,16,16,16,7.0,7.0,11.0,4.0,4.0,4.0,4.0,3.0,7.0,1.1502901315689087,0.5135728120803833,
