workload,l1d_size,l1i_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,ipc,l2_miss_rate,sim_duration_s,error,error_msg
fft,128,64,2048,16,8,32,2.246338,0.979653,15.96,0,
fft,128,128,2048,16,16,32,2.246338,0.979653,16.18,0,
fft,64,64,2048,8,8,16,2.217659,0.349144,16.38,0,
fft,64,64,4096,8,8,32,2.217659,0.349144,16.71,0,
fft,64,128,1024,8,16,16,2.217659,0.349144,16.93,0,
dijkstra,128,64,4096,16,8,32,1.588003,0.652106,51.23,0,
dijkstra,128,128,4096,16,16,32,1.588003,0.652106,52.19,0,
dijkstra,64,64,2048,8,8,16,1.343215,0.981768,54.87,0,
dijkstra,64,128,2048,8,16,32,1.343364,0.981459,55.58,0,
crc32,128,64,1024,16,8,16,1.149738,0.518982,60.52,0,
crc32,128,128,2048,16,16,16,1.151239,0.50926,61.12,0,
crc32,64,64,2048,8,8,32,1.151239,0.50926,62.04,0,
crc32,64,128,4096,8,16,32,1.151239,0.50926,62.25,0,
sha,64,128,4096,8,16,32,4.094012,1.0,109.34,0,
sha,128,64,2048,16,8,16,4.094012,1.0,110.25,0,
sha,128,128,2048,16,16,32,4.094012,1.0,112.06,0,
sha,64,64,1024,8,8,16,4.094012,1.0,116.21,0,
qsort,128,64,4096,16,8,32,1.491772,0.135015,212.9,0,
qsort,64,128,2048,8,16,32,1.483968,0.107539,213.55,0,
qsort,128,128,2048,16,16,16,1.491772,0.135015,216.18,0,
qsort,64,64,2048,8,8,32,1.483968,0.107539,228.18,0,
matrix_mul,128,64,1024,16,8,16,1.027214,0.000762,861.68,0,
matrix_mul,128,128,4096,16,16,32,1.027214,0.000762,863.99,0,
matrix_mul,128,64,2048,16,8,32,1.027214,0.000762,867.7,0,
matrix_mul,64,64,1024,8,8,16,1.027047,0.000762,867.75,0,
matrix_mul,64,128,2048,8,16,16,1.027047,0.000762,879.15,0,
